STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,EVAP,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WDMV,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT21,WT22,WV03,WV20
USW00023232,3/28/1984,California,Sacramento,10,0,8.05,,,,,,0,0,0,,76,48,,681,,,,,315,,,,,,,14.1,,,,,,,,,,,1,,,,,
USW00023232,3/29/1984,California,Sacramento,0,0,17.22,,,,,,0,0,0,,68,50,,750,,,,,315,,,,,,,27.1,,,,,,,,,,,,,,,,
USW00023232,3/30/1984,California,Sacramento,60,70,13.2,,,,,,0,0,0,,69,46,,655,,,,,225,,,,,,,23,,,,,,,,,,,,,,,,
USW00023232,3/31/1984,California,Sacramento,40,60,10.96,,,,,,0.51,0,0,,60,43,,593,,,,,270,,,,,,,16.1,,,1,,1,,,,,,1,,,,,
USW00023232,4/1/1984,California,Sacramento,20,40,6.26,,,,,,0,0,0,,63,40,,608,,,,,135,,,,,,,6,1,,,,,,,,,,,,,,,
USW00023232,4/2/1984,California,Sacramento,10,10,7.61,,,,,,0,0,0,,68,44,,760,,,,,225,,,,,,,10.1,,,,,,,,,,,,,,,,
USW00023232,4/3/1984,California,Sacramento,20,10,6.93,,,,,,0,0,0,,71,43,,678,,,,,225,,,,,,,8.9,,,,,,,,,,,,,,,,
USW00023232,4/4/1984,California,Sacramento,90,90,9.17,,,,,,0,0,0,,67,48,,542,,,,,225,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,4/5/1984,California,Sacramento,60,70,8.05,,,,,,0,0,0,,67,47,,620,,,,,180,,,,,,,12.1,,,,,,,,,,,,,,,,
USW00023232,4/6/1984,California,Sacramento,10,10,11.18,,,,,,0,0,0,,71,44,,693,,,,,315,,,,,,,23,,,,,,,,,,,,,,,,
USW00023232,4/7/1984,California,Sacramento,50,50,10.74,,,,,,0,0,0,,73,43,,511,,,,,225,,,,,,,21.9,,,,,,,,,,,,,,,,
USW00023232,4/8/1984,California,Sacramento,60,70,10.74,,,,,,0.01,0,0,,68,46,,615,,,,,225,,,,,,,17,,,,,,,,,,,1,,,,,
USW00023232,4/9/1984,California,Sacramento,70,80,8.28,,,,,,0,0,0,,65,39,,502,,,,,225,,,,,,,16.1,,,,,,,,,,,1,,,,,
USW00023232,4/10/1984,California,Sacramento,60,70,11.63,,,,,,0.07,0,0,,65,43,,482,,,,,225,,,,,,,21.9,1,,,,,,,,,1,1,,,,,
USW00023232,4/11/1984,California,Sacramento,50,80,9.17,,,,,,0,0,0,,68,42,,585,,,,,315,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,4/12/1984,California,Sacramento,20,30,6.93,,,,,,0,0,0,,75,43,,662,,,,,225,,,,,,,11,,,,,,,,,,,,,,,,
USW00023232,4/13/1984,California,Sacramento,20,40,6.49,,,,,,0,0,0,,83,46,,510,,,,,315,,,,,,,11,,,,,,,,,,,,,,,,
USW00023232,4/14/1984,California,Sacramento,0,0,5.37,,,,,,0,0,0,,84,48,,790,,,,,225,,,,,,,6.9,,,,,,,,,,,,,,,,
USW00023232,4/15/1984,California,Sacramento,0,0,8.72,,,,,,0,0,0,,81,50,,792,,,,,225,,,,,,,17.9,,,,,,,,,,,,,,,,
USW00023232,4/16/1984,California,Sacramento,80,90,10.74,,,,,,0,0,0,,71,52,,416,,,,,225,,,,,,,14.1,,,,,,,,,,,,,,,,
USW00023232,4/17/1984,California,Sacramento,20,0,12.53,,,,,,0,0,0,,69,46,,797,,,,,225,,,,,,,19.9,,,,,,,,,,,,,,,,
USW00023232,4/18/1984,California,Sacramento,80,100,11.41,,,,,,0.13,0,0,,56,47,,318,,,,,135,,,,,,,28,,,,,,,,,,,1,,,,,
USW00023232,4/19/1984,California,Sacramento,40,40,9.17,,,,,,0.13,0,0,,66,46,,570,,,,,225,,,,,,,19.9,,,1,,,,,,,,1,,,,,
USW00023232,4/20/1984,California,Sacramento,0,0,11.86,,,,,,0,0,0,,71,42,,804,,,,,315,,,,,,,21,,,,,,,,,,,,,,,,
USW00023232,4/21/1984,California,Sacramento,10,10,9.84,,,,,,0,0,0,,81,46,,806,,,,,315,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,4/22/1984,California,Sacramento,0,0,6.93,,,,,,0,0,0,,86,52,,808,,,,,225,,,,,,,11,,,,,,,,,,,,,,,,
USW00023232,4/23/1984,California,Sacramento,0,0,7.16,,,,,,0,0,0,,81,49,,811,,,,,225,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,4/24/1984,California,Sacramento,0,0,13.2,,,,,,0,0,0,,76,45,,813,,,,,315,,,,,,,30,,,,,,,,,,,,,,,,
USW00023232,4/25/1984,California,Sacramento,40,60,18.12,,,,,,0,0,0,,65,47,,815,,,,,315,,,,,,,27.1,,,,,,,,,,,,,,,,
USW00023232,4/26/1984,California,Sacramento,10,0,11.18,,,,,,0,0,0,,66,48,,818,,,,,360,,,,,,,17,,,,,,,,,,,,,,,,
USW00023232,4/27/1984,California,Sacramento,20,20,8.05,,,,,,0,0,0,,73,41,,820,,,,,315,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,4/28/1984,California,Sacramento,10,10,10.29,,,,,,0,0,0,,77,47,,822,,,,,315,,,,,,,19.9,,,,,,,,,,,,,,,,
USW00023232,4/29/1984,California,Sacramento,50,60,13.65,,,,,,0,0,0,,70,49,,773,,,,,225,,,,,,,23,,,,,,,,,,,,,,,,
USW00023232,4/30/1984,California,Sacramento,90,80,8.5,,,,,,0,0,0,,71,47,,762,,,,,225,,,,,,,16.1,,,,,,,,,,,,,,,,
