STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,FMTM,MDPR,MDSF,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USC00470273,4/16/1992,Wisconsin,Dane,,,,,,,,,0.38,0,0,,52,37,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/17/1992,Wisconsin,Dane,,,,,,,,,0.48,0,0,,44,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/18/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,43,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/19/1992,Wisconsin,Dane,,,,,,,,,0.77,0,0,,60,40,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/20/1992,Wisconsin,Dane,,,,,,,,,0.91,0,0,,68,39,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/21/1992,Wisconsin,Dane,,,,,,,,,0.08,0,0,,68,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/22/1992,Wisconsin,Dane,,,,,,,,,0.05,0,0,,45,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/23/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,50,29,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/24/1992,Wisconsin,Dane,,,,,,,,,0.28,0,0,,59,37,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/25/1992,Wisconsin,Dane,,,,,,,,,0.02,0,0,,48,34,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/26/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,48,38,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/27/1992,Wisconsin,Dane,,,,,,,,,0.19,0,0,,48,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/28/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,54,28,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/29/1992,Wisconsin,Dane,,,,,,,,,0.03,0,0,,62,39,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
